,sampleid,sample.type,tumor.type,patientid,subtype,cancertype,tsne_0,tsne_1,tsne_2,umap_0,umap_1,umap_2
TCGA-02-0047-01,TCGA.02.0047.01A.01R.1849.01,01,GBM,TCGA-02-0047,TP53 mutations,Glioma,67.08941839660471,-5.109776082391958,6.432710808325349,4.4180094930566245,4.753907696218687,9.349902985024212
TCGA-02-0055-01,TCGA.02.0055.01A.01R.1849.01,01,GBM,TCGA-02-0055,IDH wild-type,Glioma,66.52985947754374,-5.9948921090987835,4.849885749542597,4.4514665574012255,4.737130023954598,9.333201046840387
TCGA-02-2483-01,TCGA.02.2483.01A.01R.1849.01,01,GBM,TCGA-02-2483,TP53 mutations,Glioma,64.98162721970988,-6.87416712588729,5.7888189531862215,4.463030742878148,4.708714674814942,9.303910630024678
TCGA-02-2485-01,TCGA.02.2485.01A.01R.1849.01,01,GBM,TCGA-02-2485,IDH wild-type,Glioma,66.10095513909637,-6.73175051070577,6.808875749059276,4.476915781429602,4.695361975050106,9.290942824491664
TCGA-02-2486-01,TCGA.02.2486.01A.01R.1849.01,01,GBM,TCGA-02-2486,IDH wild-type,Glioma,63.89073417412593,-4.54594927201229,6.106015662167551,4.568915870537434,4.595175514662227,9.18710448502166
TCGA-04-1348-01,TCGA.04.1348.01A.01R.1565.13,01,OV,TCGA-04-1348,Immunoreactive,Ovarian,66.52162496512989,-4.714892891420192,5.694855597725615,4.433405161836355,4.73921921665303,9.335952413246149
TCGA-04-1357-01,TCGA.04.1357.01A.01R.1565.13,01,OV,TCGA-04-1357,Immunoreactive,Ovarian,9.847125023936016,4.3452459276361886,33.6390679040789,-0.71444168792991,-0.2465283449948016,-5.116474260801419
TCGA-04-1362-01,TCGA.04.1362.01A.01R.1565.13,01,OV,TCGA-04-1362,Differentiated,Ovarian,66.59281291966073,-5.88481557837168,5.9040839483244865,4.419619797504266,4.754302265513996,9.35100406178759
TCGA-04-1364-01,TCGA.04.1364.01A.01R.1565.13,01,OV,TCGA-04-1364,Proliferative,Ovarian,64.67397638636781,-6.659269803389996,6.020254981112637,4.499280452219628,4.6713038679136965,9.266307780934495
TCGA-04-1365-01,TCGA.04.1365.01A.01R.1565.13,01,OV,TCGA-04-1365,Immunoreactive,Ovarian,7.656178842159321,-0.5904091110458174,39.133528770806606,-0.8350590114265463,-0.632941774380706,-5.372074808655011
TCGA-04-1514-01,TCGA.04.1514.01A.01R.1566.13,01,OV,TCGA-04-1514,Proliferative,Ovarian,64.91777156420403,-6.065849204240991,7.148713320033029,4.503136733177256,4.664711258259077,9.266275713441882
TCGA-04-1519-01,TCGA.04.1519.01A.01R.1565.13,01,OV,TCGA-04-1519,Proliferative,Ovarian,62.87001020346393,-6.1827693149327025,6.923864385028396,4.61838102040065,4.544708982867294,9.134004670635067
TCGA-05-4244-01,TCGA.05.4244.01A.01R.1107.07,01,LUAD,,,,66.78406898724207,-4.779945044023558,5.545149590826987,4.418251398689637,4.756057342804304,9.3532075713833
TCGA-05-4249-01,TCGA.05.4249.01A.01R.1107.07,01,LUAD,TCGA-05-4249,Terminal respiratory unit,Lung adenocarcinoma,65.70809585129383,-6.021248721338446,5.974136059927117,4.516919267707947,4.653085729038211,9.254792781277978
TCGA-05-4250-01,TCGA.05.4250.01A.01R.1107.07,01,LUAD,,,,65.62952215749395,-5.345446136888908,6.402888112607095,4.4598208336133895,4.7115746511574494,9.30737745582515
TCGA-05-4382-01,TCGA.05.4382.01A.01R.1206.07,01,LUAD,TCGA-05-4382,Proximal-proliferative,Lung adenocarcinoma,62.94332399213377,-6.40285257715776,7.286448860845963,4.654478515121895,4.508646038944848,9.098037726638106
TCGA-05-4384-01,TCGA.05.4384.01A.01R.1755.07,01,LUAD,TCGA-05-4384,Terminal respiratory unit,Lung adenocarcinoma,66.339712705804,-6.333512594514755,5.573079226658926,4.458525399799754,4.716515441294386,9.312296717543102
TCGA-05-4389-01,TCGA.05.4389.01A.01R.1206.07,01,LUAD,TCGA-05-4389,Proximal-proliferative,Lung adenocarcinoma,64.82337774416621,-6.055155418537292,7.219453017490412,4.616034060843771,4.549977687562845,9.152943902811035
