,sampleid,sample.type,tumor.type,patientid,subtype,cancertype,tsne_0,tsne_1,tsne_2,umap_0,umap_1,umap_2
TCGA-P6-A5OG-01,TCGA.P6.A5OG.01A.22R.A29S.07,01,ACC,,,,0.8179993251877241,9.79238502700857,-13.263372563687819,0.4901701940930257,1.7915212702634309,1.9938768949004317
TCGA-OR-A5LP-01,TCGA.OR.A5LP.01A.11R.A29S.07,01,ACC,,,,13.857586205811561,46.981237541824456,-18.27024274661792,-14.532817773036506,-3.7724676156831305,-0.03896194118212347
TCGA-OR-A5J1-01,TCGA.OR.A5J1.01A.11R.A29S.07,01,ACC,,,,12.880871405630282,42.40838883153268,-19.12988188915004,-14.069133403397217,-3.7782933756519226,0.31982752666708103
TCGA-OR-A5L9-01,TCGA.OR.A5L9.01A.11R.A29S.07,01,ACC,,,,13.625721340176641,46.99150942894793,-19.80820644174292,-14.56855014709034,-3.695200938563031,-0.06475560057105927
TCGA-OR-A5J5-01,TCGA.OR.A5J5.01A.11R.A29S.07,01,ACC,,,,12.920083016425806,43.35757768253229,-17.317432840159967,-14.088177572390181,-3.8015283760017735,0.30055814135493925
TCGA-OR-A5K1-01,TCGA.OR.A5K1.01A.11R.A29S.07,01,ACC,,,,13.14754857546616,46.69928876366688,-19.259440504882924,-14.55306072537931,-3.748924294809854,-0.04472276400467865
TCGA-OR-A5LC-01,TCGA.OR.A5LC.01A.11R.A29S.07,01,ACC,,,,14.625622536662295,42.73721486993223,-19.89413629767487,-14.095749809513702,-3.7579593393096813,0.29233765575095616
TCGA-PA-A5YG-01,TCGA.PA.A5YG.01A.11R.A29S.07,01,ACC,,,,13.643024600982491,47.107771525157894,-17.933542592744196,-14.535920233914581,-3.7837293582483307,-0.03704205114040545
TCGA-OR-A5L6-01,TCGA.OR.A5L6.01A.11R.A29S.07,01,ACC,,,,12.865504682747622,46.232657819950056,-18.860675341322025,-14.484358448160458,-3.776824786710147,0.0036312198165012305
TCGA-OR-A5LR-01,TCGA.OR.A5LR.01A.11R.A29S.07,01,ACC,,,,13.565551127649197,46.910332137588355,-19.545314113265995,-14.543819679262462,-3.740446999547049,-0.03469762462372334
TCGA-OR-A5KX-01,TCGA.OR.A5KX.01A.11R.A29S.07,01,ACC,,,,13.566160286835494,42.57699711372962,-20.638182033080113,-14.09435890141207,-3.762711084782961,0.2962651845934804
TCGA-OR-A5JX-01,TCGA.OR.A5JX.01A.11R.A29S.07,01,ACC,,,,12.934768297307622,44.4514791027111,-18.44830847138334,-14.18893898393678,-3.849294114389718,0.21906562169428723
TCGA-OR-A5KW-01,TCGA.OR.A5KW.01A.11R.A29S.07,01,ACC,,,,14.313909874094753,44.68616995021326,-17.756828647679814,-14.223469859232736,-3.81893343770485,0.18911456013068964
TCGA-OR-A5K0-01,TCGA.OR.A5K0.01A.11R.A29S.07,01,ACC,,,,16.023017354277012,42.558286117874644,-19.288534802046456,-14.105324548673329,-3.694837745177555,0.28201425988454537
TCGA-OR-A5J2-01,TCGA.OR.A5J2.01A.11R.A29S.07,01,ACC,,,,14.952864451592003,42.188942703412266,-18.32219426959995,-14.056048483150496,-3.7593194729595285,0.32397358971643153
TCGA-OR-A5K4-01,TCGA.OR.A5K4.01A.11R.A29S.07,01,ACC,,,,13.278446224860547,46.83459519581765,-19.58617451860814,-14.542092624198972,-3.7205850146442763,-0.031110351345000318
TCGA-OR-A5K6-01,TCGA.OR.A5K6.01A.11R.A29S.07,01,ACC,,,,15.150867576122609,42.98768239977591,-19.315490578592186,-14.085474323891921,-3.7355669342208975,0.29864859465712534
TCGA-OR-A5K2-01,TCGA.OR.A5K2.01A.11R.A29S.07,01,ACC,,,,13.915248733814678,42.18327981554912,-19.756143156804804,-14.047882474055646,-3.7535932701061876,0.33314979269688705
TCGA-OR-A5LM-01,TCGA.OR.A5LM.01A.11R.A29S.07,01,ACC,,,,13.10995138045637,45.0399172737622,-18.108978121412033,-14.336322945217999,-3.8190901252099536,0.10370316362272768
TCGA-OR-A5JR-01,TCGA.OR.A5JR.01A.11R.A29S.07,01,ACC,,,,13.287691401420803,46.72987432986473,-18.69342445786157,-14.528623907829564,-3.7733132420095767,-0.029777514345630526
TCGA-OR-A5K5-01,TCGA.OR.A5K5.01A.11R.A29S.07,01,ACC,,,,14.828418817966178,41.601199468050915,-19.292341164980748,-14.025007677297982,-3.7266731047877646,0.3554694359000027
TCGA-OR-A5K3-01,TCGA.OR.A5K3.01A.11R.A29S.07,01,ACC,,,,13.124950361498334,45.672759646190016,-18.665939658634137,-14.452655405879556,-3.7959564084307007,0.021760629809578845
TCGA-OR-A5JA-01,TCGA.OR.A5JA.01A.11R.A29S.07,01,ACC,,,,14.397928187120982,44.74700911343252,-17.69138018310101,-14.27583613664563,-3.7969820972514774,0.14249445850950204
TCGA-OR-A5L8-01,TCGA.OR.A5L8.01A.11R.A29S.07,01,ACC,,,,14.230937751243058,42.40779607633477,-18.1257519174106,-14.131672627017627,-3.8225238438984985,0.2569439285026421
TCGA-OR-A5J8-01,TCGA.OR.A5J8.01A.11R.A29S.07,01,ACC,,,,1.0555842864856728,12.09490582870154,-11.437782039907248,0.5256086408206676,1.7702260927527287,2.006089589371609
TCGA-OU-A5PI-01,TCGA.OU.A5PI.01A.12R.A29S.07,01,ACC,,,,13.692338928255381,43.059715344870604,-17.916922318051114,-14.118699055775114,-3.822650986259247,0.27167149732949364
TCGA-OR-A5JB-01,TCGA.OR.A5JB.01A.11R.A29S.07,01,ACC,,,,-1.666135528090919,4.984316834388005,-13.707288891215235,0.42139472811143575,2.210796088935949,1.6913701855651342
TCGA-OR-A5JM-01,TCGA.OR.A5JM.01A.11R.A29S.07,01,ACC,,,,14.787065638683767,41.73950587989629,-19.51545967383632,-14.01506258583775,-3.6999505283665073,0.3687068965516793
TCGA-OR-A5LN-01,TCGA.OR.A5LN.01A.11R.A29S.07,01,ACC,,,,13.86585840463062,46.97449328899849,-18.525682347838146,-14.502543705735702,-3.7640541365956737,-0.009136087801039479
TCGA-OR-A5LA-01,TCGA.OR.A5LA.01A.11R.A29S.07,01,ACC,,,,13.919649665030276,46.764404662369046,-19.148825185914955,-14.51848831157907,-3.7512119773559487,-0.017914157098597713
TCGA-OR-A5JL-01,TCGA.OR.A5JL.01A.11R.A29S.07,01,ACC,,,,14.48635368853418,45.30050764893449,-17.737913000098654,-14.281448836709396,-3.790415956993157,0.15484285735942638
TCGA-OR-A5JF-01,TCGA.OR.A5JF.01A.11R.A29S.07,01,ACC,,,,14.03003558517322,43.50953108289464,-18.320105018735404,-14.142093774762422,-3.821021690672766,0.25271617161704485
TCGA-PK-A5HB-01,TCGA.PK.A5HB.01A.11R.A29S.07,01,ACC,,,,13.139279400243442,43.568159146986815,-19.593746331315682,-14.192400482634254,-3.8626085765447775,0.20743268608463228
TCGA-OR-A5LK-01,TCGA.OR.A5LK.01A.11R.A29S.07,01,ACC,,,,13.164543026393666,47.69111941168943,-18.123006691700184,-14.513803365783112,-3.7793865506213247,-0.018895294673737136
TCGA-OR-A5LT-01,TCGA.OR.A5LT.01A.11R.A29S.07,01,ACC,,,,13.341771358958491,47.06537656068467,-17.398566996918152,-14.519090966288719,-3.7851130710926255,-0.02823390489188526
TCGA-OR-A5LO-01,TCGA.OR.A5LO.01A.11R.A29S.07,01,ACC,,,,13.205482516415314,43.09853492941654,-17.58977271559515,-14.099427000041441,-3.8326612191614498,0.28978267783644324
TCGA-OR-A5JZ-01,TCGA.OR.A5JZ.01A.11R.A29S.07,01,ACC,,,,12.930448089733389,46.84025934477021,-19.2350639354071,-14.538812234110601,-3.7519063361429583,-0.03153463323010073
TCGA-OR-A5LL-01,TCGA.OR.A5LL.01A.11R.A29S.07,01,ACC,,,,15.418221222144183,44.04406861120376,-19.640685337014606,-14.265446495541715,-3.718958540212877,0.1429900614592932
TCGA-OR-A5K9-01,TCGA.OR.A5K9.01A.11R.A29S.07,01,ACC,,,,14.945309186943103,42.26072371564035,-19.98951161075243,-14.083903685902394,-3.7400543129921258,0.3036830286301241
TCGA-OR-A5JY-01,TCGA.OR.A5JY.01A.31R.A29S.07,01,ACC,,,,15.21521908378535,41.335504345543164,-19.316836163945013,-14.009293863391107,-3.7029736880706436,0.37592703931911653
TCGA-OR-A5LJ-01,TCGA.OR.A5LJ.01A.11R.A29S.07,01,ACC,,,,14.94944615194276,42.38042330247664,-18.471142519934034,-14.090846771076627,-3.741171254013929,0.29449073517249263
TCGA-OR-A5J7-01,TCGA.OR.A5J7.01A.11R.A29S.07,01,ACC,,,,13.837247276928865,42.325860381729655,-19.83502002242495,-14.042365603507609,-3.7865527089737516,0.34046278092687476
TCGA-OR-A5JD-01,TCGA.OR.A5JD.01A.11R.A29S.07,01,ACC,,,,13.985320388862313,47.02466682974057,-18.23065756730028,-14.542928221067438,-3.770166597069081,-0.04404770738359987
TCGA-OR-A5JK-01,TCGA.OR.A5JK.01A.11R.A29S.07,01,ACC,,,,12.911676697283767,44.90553013283959,-18.20250806114796,-14.322805777583316,-3.818336992309825,0.1120016718463475
TCGA-OR-A5L4-01,TCGA.OR.A5L4.01A.11R.A29S.07,01,ACC,,,,13.500054824455827,45.64173235336079,-19.32975921028546,-14.38748797205426,-3.7709857935775637,0.0732811820272884
TCGA-OR-A5JT-01,TCGA.OR.A5JT.01A.11R.A29S.07,01,ACC,,,,13.369935934209051,46.87413947701428,-19.17036177302247,-14.553939632151554,-3.731412123294644,-0.03342176248118057
TCGA-OR-A5JP-01,TCGA.OR.A5JP.01A.11R.A29S.07,01,ACC,,,,13.47169926180526,41.84394322889213,-19.836137631492797,-14.096911366401576,-3.7956444099339333,0.28718664045904674
TCGA-OR-A5JW-01,TCGA.OR.A5JW.01A.11R.A29S.07,01,ACC,,,,13.424471673291064,44.22067964449135,-18.87775364354239,-14.237969420574055,-3.8634430342527555,0.17124640560738114
TCGA-OR-A5JO-01,TCGA.OR.A5JO.01A.11R.A29S.07,01,ACC,,,,15.668228169952908,47.38181175538782,-20.90966527399964,-14.435834513836271,-3.7471559435860513,0.041115309925945864
